# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +4.6466991383873397e+00 +0.0000000000000000e+00 -9.9999999995050826e-02 +1.7232253603662522e-05 +0.0000000000000000e+00 +9.9999999985152477e-01
-2.0000000000000001e-01 +4.6466965535492033e+00 +0.0000000000000000e+00 -1.9999999996040660e-01 +3.4464509480667928e-05 +0.0000000000000000e+00 +9.9999999940609885e-01
-3.0000000000000004e-01 +4.6466922454853750e+00 +0.0000000000000000e+00 -2.9999999986637227e-01 +5.1696767419455214e-05 +0.0000000000000000e+00 +9.9999999866372213e-01
-4.0000000000000002e-01 +4.6466862141956575e+00 +0.0000000000000000e+00 -3.9999999968325273e-01 +6.8929027217927406e-05 +0.0000000000000000e+00 +9.9999999762439462e-01
-5.0000000000000000e-01 +4.6466784596798751e+00 +0.0000000000000000e+00 -4.9999999938135287e-01 +8.6161288683450345e-05 +0.0000000000000000e+00 +9.9999999628811620e-01
-5.9999999999999998e-01 +4.6466689819378706e+00 +0.0000000000000000e+00 -5.9999999893097766e-01 +1.0339355163285168e-04 +0.0000000000000000e+00 +9.9999999465488676e-01
-6.9999999999999996e-01 +4.6466577809695044e+00 +0.0000000000000000e+00 -6.9999999830243187e-01 +1.2062581589242012e-04 +0.0000000000000000e+00 +9.9999999272470630e-01
-7.9999999999999993e-01 +4.6466448567746541e+00 +0.0000000000000000e+00 -7.9999999746602057e-01 +1.3785808129790494e-04 +0.0000000000000000e+00 +9.9999999049757471e-01
-8.9999999999999991e-01 +4.6466302093532121e+00 +0.0000000000000000e+00 -8.9999999639204853e-01 +1.5509034769451566e-04 +0.0000000000000000e+00 +9.9999998797349199e-01
-9.9999999999999989e-01 +4.6466138387050870e+00 +0.0000000000000000e+00 -9.9999999505082060e-01 +1.7232261493692206e-04 +0.0000000000000000e+00 +9.9999998515245814e-01
-1.0999999999999999e+00 +4.6465957448302015e+00 +0.0000000000000000e+00 -1.0999999934126417e+00 +1.8955488288925436e-04 +0.0000000000000000e+00 +9.9999998203447305e-01
-1.2000000000000000e+00 +4.6465759277284899e+00 +0.0000000000000000e+00 -1.1999999914478168e+00 +2.0678715142510360e-04 +0.0000000000000000e+00 +9.9999997861953682e-01
-1.3000000000000000e+00 +4.6465543873999007e+00 +0.0000000000000000e+00 -1.2999999891266507e+00 +2.2401942042752238e-04 +0.0000000000000000e+00 +9.9999997490764936e-01
-1.4000000000000001e+00 +4.6465311238443920e+00 +0.0000000000000000e+00 -1.3999999864194483e+00 +2.4125168978902576e-04 +0.0000000000000000e+00 +9.9999997089881065e-01
-1.5000000000000002e+00 +4.6465061370619338e+00 +0.0000000000000000e+00 -1.4999999832965145e+00 +2.5848395941159227e-04 +0.0000000000000000e+00 +9.9999996659302082e-01
-1.6000000000000003e+00 +4.6464794270525038e+00 +0.0000000000000000e+00 -1.5999999797281541e+00 +2.7571622920666549e-04 +0.0000000000000000e+00 +9.9999996199027974e-01
-1.7000000000000004e+00 +4.6464509938160896e+00 +0.0000000000000000e+00 -1.6999999756846720e+00 +2.9294849909515552e-04 +0.0000000000000000e+00 +9.9999995709058753e-01
-1.8000000000000005e+00 +4.6464208373526841e+00 +0.0000000000000000e+00 -1.7999999711363732e+00 +3.1018076900744086e-04 +0.0000000000000000e+00 +9.9999995189394408e-01
-1.9000000000000006e+00 +4.6463889576622890e+00 +0.0000000000000000e+00 -1.8999999660535625e+00 +3.2741303888337046e-04 +0.0000000000000000e+00 +9.9999994640034950e-01
-2.0000000000000004e+00 +4.6463553547449106e+00 +0.0000000000000000e+00 -1.9999999604065448e+00 +3.4464530867226616e-04 +0.0000000000000000e+00 +9.9999994060980379e-01
-2.1000000000000005e+00 +4.6463200286005595e+00 +0.0000000000000000e+00 -2.0999999541656251e+00 +3.6187757833360922e-04 +0.0000000000000000e+00 +9.9999993452230695e-01
-2.2000000000000006e+00 +4.6462829792292490e+00 +0.0000000000000000e+00 -2.1999999473011078e+00 +3.7910984784456699e-04 +0.0000000000000000e+00 +9.9999992813785898e-01
-2.3000000000000007e+00 +4.6462442066309952e+00 +0.0000000000000000e+00 -2.2999999397832984e+00 +3.9634211720751983e-04 +0.0000000000000000e+00 +9.9999992145645988e-01
-2.4000000000000008e+00 +4.6462037108058114e+00 +0.0000000000000000e+00 -2.3999999315825016e+00 +4.1357438645074775e-04 +0.0000000000000000e+00 +9.9999991447810965e-01
-2.5000000000000009e+00 +4.6461614917537073e+00 +0.0000000000000000e+00 -2.4999999226690219e+00 +4.3080665562843300e-04 +0.0000000000000000e+00 +9.9999990720280829e-01
-2.6000000000000010e+00 +4.6461175494746856e+00 +0.0000000000000000e+00 -2.5999999130131646e+00 +4.4803892482066313e-04 +0.0000000000000000e+00 +9.9999989963055580e-01
-2.7000000000000011e+00 +4.6460718839687392e+00 +0.0000000000000000e+00 -2.6999999025852346e+00 +4.6527119413343411e-04 +0.0000000000000000e+00 +9.9999989176135196e-01
-2.8000000000000012e+00 +4.6460244952358503e+00 +0.0000000000000000e+00 -2.7999998913555366e+00 +4.8250346369865343e-04 +0.0000000000000000e+00 +9.9999988359519687e-01
-2.9000000000000012e+00 +4.6459753832759860e+00 +0.0000000000000000e+00 -2.8999998792943757e+00 +4.9973573367414364e-04 +0.0000000000000000e+00 +9.9999987513209032e-01
-3.0000000000000013e+00 +4.6459245480890958e+00 +0.0000000000000000e+00 -2.9999998663720566e+00 +5.1696800424364583e-04 +0.0000000000000000e+00 +9.9999986637203220e-01
-3.1000000000000014e+00 +4.6458719896751104e+00 +0.0000000000000000e+00 -3.0999998525588839e+00 +5.3420027561682361e-04 +0.0000000000000000e+00 +9.9999985731502239e-01
-3.2000000000000015e+00 +4.6458177080339382e+00 +0.0000000000000000e+00 -3.1999998378251626e+00 +5.5143254802926674e-04 +0.0000000000000000e+00 +9.9999984796106078e-01
-3.3000000000000016e+00 +4.6457617031654612e+00 +0.0000000000000000e+00 -3.2999998221411975e+00 +5.6866482174249542e-04 +0.0000000000000000e+00 +9.9999983831014705e-01
-3.4000000000000017e+00 +4.6457039750695364e+00 +0.0000000000000000e+00 -3.3999998054772935e+00 +5.8589709704396438e-04 +0.0000000000000000e+00 +9.9999982836228096e-01
-3.5000000000000018e+00 +4.6456445237459887e+00 +0.0000000000000000e+00 -3.4999997878037554e+00 +6.0312937424706746e-04 +0.0000000000000000e+00 +9.9999981811746230e-01
-3.6000000000000019e+00 +4.6455833491946121e+00 +0.0000000000000000e+00 -3.5999997690908878e+00 +6.2036165369114195e-04 +0.0000000000000000e+00 +9.9999980757569074e-01
-3.7000000000000020e+00 +4.6455204514151642e+00 +0.0000000000000000e+00 -3.6999997493089953e+00 +6.3759393574147367e-04 +0.0000000000000000e+00 +9.9999979673696582e-01
-3.8000000000000020e+00 +4.6454558304073643e+00 +0.0000000000000000e+00 -3.7999997284283826e+00 +6.5482622078930151e-04 +0.0000000000000000e+00 +9.9999978560128722e-01
-3.9000000000000021e+00 +4.6453894861708926e+00 +0.0000000000000000e+00 -3.8999997064193543e+00 +6.7205850925182269e-04 +0.0000000000000000e+00 +9.9999977416865449e-01
-4.0000000000000018e+00 +4.6453214187053860e+00 +0.0000000000000000e+00 -3.9999996832522151e+00 +6.8929080157219800e-04 +0.0000000000000000e+00 +9.9999976243906719e-01
-4.1000000000000014e+00 +4.6452516280104348e+00 +0.0000000000000000e+00 -4.0999996588972696e+00 +7.0652309821577159e-04 +0.0000000000000000e+00 +9.9999975041252465e-01
-4.2000000000000011e+00 +4.6451801140855844e+00 +0.0000000000000000e+00 -4.1999996333248220e+00 +7.2375539962843286e-04 +0.0000000000000000e+00 +9.9999973808902642e-01
-4.3000000000000007e+00 +4.6451068769303374e+00 +0.0000000000000000e+00 -4.2999996065051764e+00 +7.4098770619497232e-04 +0.0000000000000000e+00 +9.9999972546857196e-01
-4.4000000000000004e+00 +4.6450319165441627e+00 +0.0000000000000000e+00 -4.3999995784086376e+00 +7.5822001823529011e-04 +0.0000000000000000e+00 +9.9999971255116071e-01
-4.5000000000000000e+00 +4.6449552329264989e+00 +0.0000000000000000e+00 -4.4999995490055102e+00 +7.7545233600438972e-04 +0.0000000000000000e+00 +9.9999969933679211e-01
-4.5999999999999996e+00 +4.6448768260767643e+00 +0.0000000000000000e+00 -4.5999995182660980e+00 +7.9268465969237114e-04 +0.0000000000000000e+00 +9.9999968582546583e-01
-4.6999999999999993e+00 +4.6447966959943594e+00 +0.0000000000000000e+00 -4.6999994861607046e+00 +8.0991698942442351e-04 +0.0000000000000000e+00 +9.9999967201718143e-01
-4.7999999999999989e+00 +4.6447148426786757e+00 +0.0000000000000000e+00 -4.7999994526596357e+00 +8.2714932526081731e-04 +0.0000000000000000e+00 +9.9999965791193846e-01
-4.8999999999999986e+00 +4.6446312661291032e+00 +0.0000000000000000e+00 -4.8999994177331940e+00 +8.4438166719689599e-04 +0.0000000000000000e+00 +9.9999964350973658e-01
-4.9999999999999982e+00 +4.6445459663450350e+00 +0.0000000000000000e+00 -4.9999993813516843e+00 +8.6161401516306722e-04 +0.0000000000000000e+00 +9.9999962881057558e-01
-5.0999999999999979e+00 +4.6444589433258736e+00 +0.0000000000000000e+00 -5.0999993434854103e+00 +8.7884636902479344e-04 +0.0000000000000000e+00 +9.9999961381445523e-01
-5.1999999999999975e+00 +4.6443701970710398e+00 +0.0000000000000000e+00 -5.1999993041046766e+00 +8.9607872858258198e-04 +0.0000000000000000e+00 +9.9999959852137543e-01
-5.2999999999999972e+00 +4.6442797275799759e+00 +0.0000000000000000e+00 -5.2999992631797870e+00 +9.1331109357197481e-04 +0.0000000000000000e+00 +9.9999958293133617e-01
-5.3999999999999968e+00 +4.6441875348521551e+00 +0.0000000000000000e+00 -5.3999992206810452e+00 +9.3054346366353751e-04 +0.0000000000000000e+00 +9.9999956704433735e-01
-5.4999999999999964e+00 +4.6440936188870863e+00 +0.0000000000000000e+00 -5.4999991765787559e+00 +9.4777583846284807e-04 +0.0000000000000000e+00 +9.9999955086037906e-01
