# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3593984054311075e-02 -4.3345533531514302e-01 +3.0696716710401583e-03
1.0000000000000001e-01 +4.6466956683949556e+00 +0.0000000000000000e+00 +9.9999999874914633e-02 +2.3594003343392914e-02 -4.3345536438707216e-01 +3.0696104994232714e-03
2.0000000000000001e-01 +4.6466826735794697e+00 +0.0000000000000000e+00 +1.9999999899931714e-01 +2.3594020170513246e-02 -4.3345539252955251e-01 +3.0695503088361462e-03
3.0000000000000004e-01 +4.6466610155530770e+00 +0.0000000000000000e+00 +2.9999999662269522e-01 +2.3594034779906289e-02 -4.3345541964663892e-01 +3.0694911425592957e-03
4.0000000000000002e-01 +4.6466306943153990e+00 +0.0000000000000000e+00 +3.9999999199453651e-01 +2.3594047415931300e-02 -4.3345544564248301e-01 +3.0694330438828187e-03
5.0000000000000000e-01 +4.6465917098661436e+00 +0.0000000000000000e+00 +4.9999998436432846e-01 +2.3594058323042486e-02 -4.3345547042131971e-01 +3.0693760561082981e-03
5.9999999999999998e-01 +4.6465440622051082e+00 +0.0000000000000000e+00 +5.9999997298155849e-01 +2.3594067745758725e-02 -4.3345549388745536e-01 +3.0693202225506940e-03
6.9999999999999996e-01 +4.6464877513321818e+00 +0.0000000000000000e+00 +6.9999995709571383e-01 +2.3594075928633568e-02 -4.3345551594525411e-01 +3.0692655865402225e-03
7.9999999999999993e-01 +4.6464227772473468e+00 +0.0000000000000000e+00 +7.9999993595628172e-01 +2.3594083116225024e-02 -4.3345553649912649e-01 +3.0692121914242545e-03
8.9999999999999991e-01 +4.6463491399506793e+00 +0.0000000000000000e+00 +8.9999990881274938e-01 +2.3594089553065353e-02 -4.3345555545351455e-01 +3.0691600805691959e-03
9.9999999999999989e-01 +4.6462668394423536e+00 +0.0000000000000000e+00 +9.9999987491460396e-01 +2.3594095483631033e-02 -4.3345557271288110e-01 +3.0691092973623708e-03
1.0999999999999999e+00 +4.6461758757226423e+00 +0.0000000000000000e+00 +1.0999998335113326e+00 +2.3594101152312523e-02 -4.3345558818169655e-01 +3.0690598852139129e-03
1.2000000000000000e+00 +4.6460762487919194e+00 +0.0000000000000000e+00 +1.1999997838524223e+00 +2.3594106803384120e-02 -4.3345560176442477e-01 +3.0690118875586433e-03
1.3000000000000000e+00 +4.6459679586506617e+00 +0.0000000000000000e+00 +1.2999997251873603e+00 +2.3594112680973847e-02 -4.3345561336551219e-01 +3.0689653478579541e-03
1.4000000000000001e+00 +4.6458510052994493e+00 +0.0000000000000000e+00 +1.3999996567656336e+00 +2.3594119029033224e-02 -4.3345562288937406e-01 +3.0689203096016921e-03
1.5000000000000002e+00 +4.6457253887389705e+00 +0.0000000000000000e+00 +1.4999995778367299e+00 +2.3594126091307170e-02 -4.3345563024038175e-01 +3.0688768163100338e-03
1.6000000000000003e+00 +4.6455911089700210e+00 +0.0000000000000000e+00 +1.5999994876501362e+00 +2.3594134111303799e-02 -4.3345563532285014e-01 +3.0688349115353692e-03
1.7000000000000004e+00 +4.6454481659935078e+00 +0.0000000000000000e+00 +1.6999993854553399e+00 +2.3594143332264308e-02 -4.3345563804102510e-01 +3.0687946388641817e-03
1.8000000000000005e+00 +4.6452965598104488e+00 +0.0000000000000000e+00 +1.7999992705018288e+00 +2.3594153997132692e-02 -4.3345563829907086e-01 +3.0687560419189216e-03
1.9000000000000006e+00 +4.6451362904219771e+00 +0.0000000000000000e+00 +1.8999991420390905e+00 +2.3594166348525691e-02 -4.3345563600105552e-01 +3.0687191643598830e-03
2.0000000000000004e+00 +4.6449673578293416e+00 +0.0000000000000000e+00 +1.9999989993166130e+00 +2.3594180628702527e-02 -4.3345563105094181e-01 +3.0686840498870879e-03
2.1000000000000005e+00 +4.6447897620339091e+00 +0.0000000000000000e+00 +2.0999988415838846e+00 +2.3594196977705664e-02 -4.3345562340541555e-01 +3.0686506884000731e-03
2.2000000000000006e+00 +4.6446035030371648e+00 +0.0000000000000000e+00 +2.1999986680903936e+00 +2.3594215127970112e-02 -4.3345561323250043e-01 +3.0686188544459866e-03
2.3000000000000007e+00 +4.6444085808407101e+00 +0.0000000000000000e+00 +2.2999984780856284e+00 +2.3594234710051686e-02 -4.3345560075317319e-01 +3.0685882687107300e-03
