# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -1.2971213714396537e-01 +5.9440053495891053e-04 +6.9880768861516923e-02 -6.1752978712936137e+00 -1.1149028601537057e+02 +5.0261713601037918e+04 -8.2953647237348669e+03 
-1.0000000000000001e-01 -1.2971212224306533e-01 +5.9843399443016700e-04 +7.0423007007315006e-02 -6.2908789111703616e+00 -1.2465416617228449e+02 +5.0823485641833046e+04 +5.6712045797442821e+04 
-2.0000000000000001e-01 -1.2971210512046613e-01 +6.0272439037395561e-04 +7.0798284019854205e-02 -6.4167579662987704e+00 -1.3629634227886928e+02 +5.1443153454931198e+04 +1.1889884476822669e+05 
-3.0000000000000004e-01 -1.2971208583519703e-01 +6.0722822215474352e-04 +7.1015179864152733e-02 -6.5513930118584254e+00 -1.4647040519713391e+02 +5.2112547929186003e+04 +1.7817642833184774e+05 
-4.0000000000000002e-01 -1.2971206444628358e-01 +6.1190199410781417e-04 +7.1082274174948432e-02 -6.6932421257159085e+00 -1.5522993854904342e+02 +5.2823500355839875e+04 +2.3445615240565111e+05 
-5.0000000000000000e-01 -1.2971204101275940e-01 +6.1670221530097757e-04 +7.1008147671509536e-02 -6.8407634918692466e+00 -1.6262854586889287e+02 +5.3567842497407546e+04 +2.8764946292434633e+05 
-5.9999999999999998e-01 -1.2971201559365322e-01 +6.2158539838127298e-04 +7.0801380585826107e-02 -6.9924153652057637e+00 -1.6871982186782731e+02 +5.4337406397662824e+04 +3.3766776386088732e+05 
-6.9999999999999996e-01 -1.2971198824800048e-01 +6.2650805939734166e-04 +7.0470554050002909e-02 -7.1466560786008992e+00 -1.7355737934961340e+02 +5.5124024475211030e+04 +3.8442254715342750e+05 
-7.9999999999999993e-01 -1.2971195903483171e-01 +6.3142671683524484e-04 +7.0024248719105245e-02 -7.3019440131754809e+00 -1.7719482434398122e+02 +5.5919529365022019e+04 +4.2782527957941667e+05 
-8.9999999999999991e-01 -1.2971192801316739e-01 +6.3629789080445317e-04 +6.9471044122234663e-02 -7.4567375841994554e+00 -1.7968574482428485e+02 +5.6715753882876415e+04 +4.6778735325394827e+05 
-9.9999999999999989e-01 -1.2971189524203527e-01 +6.4107810311990314e-04 +6.8819520755693517e-02 -7.6094952472824797e+00 -1.8108375028876247e+02 +5.7504531089820041e+04 +5.0422027325022174e+05 
-1.0999999999999999e+00 -1.2971186078044758e-01 +6.4572387567909571e-04 +6.8078257278353371e-02 -7.7586754553072055e+00 -1.8144242015259377e+02 +5.8277694074387706e+04 +5.3703541908362578e+05 
-1.2000000000000000e+00 -1.2971182468741177e-01 +6.5019173049748666e-04 +6.7255831891208512e-02 -7.9027366659268017e+00 -1.8081533087234806e+02 +5.9027076030903445e+04 +5.6614417654118233e+05 
