# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -2.6015363497995686e-01 +1.7044914626210125e-03 +6.1886156882022994e-02 -5.6909727467828519e+00 +8.2724443954590777e+02 +5.9863671940961867e+04 -2.7634780081769088e+06 
+1.0000000000000001e-01 -2.6015362060541342e-01 +1.7087553423272195e-03 +6.0712315518338271e-02 -5.6840685547892056e+00 +8.3089546652925355e+02 +5.9634202686569151e+04 -2.7606503171683191e+06 
+2.0000000000000001e-01 -2.6015361083513272e-01 +1.7133163873703638e-03 +5.9799547721907459e-02 -5.6906495916859408e+00 +8.3251299573676363e+02 +5.9508470789212217e+04 -2.7534745611261344e+06 
+3.0000000000000004e-01 -2.6015360550538652e-01 +1.7181618415242083e-03 +5.9132719976113121e-02 -5.7107378333524617e+00 +8.3225083610501792e+02 +5.9484968620577340e+04 -2.7423713722655680e+06 
+4.0000000000000002e-01 -2.6015360445246566e-01 +1.7232789325313600e-03 +5.8696702123538363e-02 -5.7443549771991966e+00 +8.3026272718414282e+02 +5.9562187448800985e+04 -2.7277610624650032e+06 
+5.0000000000000000e-01 -2.6015360751268596e-01 +1.7286548765399665e-03 +5.8476368235690267e-02 -5.7915225632383533e+00 +8.2670232325481220e+02 +5.9738618103504181e+04 -2.7100635491713886e+06 
+5.9999999999999998e-01 -2.6015361452237851e-01 +1.7342768759417964e-03 +5.8456595294557517e-02 -5.8522618905651047e+00 +8.2172322169891163e+02 +6.0012750425664344e+04 -2.6896984983813227e+06 
+6.9999999999999996e-01 -2.6015362531789443e-01 +1.7401321242620975e-03 +5.8622263908766854e-02 -5.9265941570390659e+00 +8.1547894936407454e+02 +6.0383074059012120e+04 -2.6670852589043267e+06 
+7.9999999999999993e-01 -2.6015363973559730e-01 +1.7462078066303149e-03 +5.8958257180885168e-02 -6.0145404550850268e+00 +8.0812298805434455e+02 +6.0848078363981600e+04 -2.6426429935313500e+06 
+8.9999999999999991e-01 -2.6015365761187026e-01 +1.7524911018104406e-03 +5.9449461904854776e-02 -6.1161218213179156e+00 +7.9980875125110765e+02 +6.1406252670103582e+04 -2.6167905668037767e+06 
+9.9999999999999989e-01 -2.6015367878309781e-01 +1.7589691832904009e-03 +6.0080766110511864e-02 -6.2313592534613660e+00 +7.9068963344207236e+02 +6.2056086320918410e+04 -2.5899467849103231e+06 
+1.0999999999999999e+00 -2.6015370308568420e-01 +1.7656292221071119e-03 +6.0837061357692207e-02 -6.3602737835816265e+00 +7.8091896898996151e+02 +6.2796069063197836e+04 -2.5625302070918209e+06 
+1.2000000000000000e+00 -2.6015373035603251e-01 +1.7724583875577957e-03 +6.1703240239305825e-02 -6.5028864853850443e+00 +7.7065007962084917e+02 +6.3624691041032500e+04 -2.5349593697027289e+06 
+1.3000000000000000e+00 -2.6015376043055460e-01 +1.7794438496095829e-03 +6.2664197673524505e-02 -6.6592185328216296e+00 +7.6003625250980031e+02 +6.4540443094731978e+04 -2.5076526897089314e+06 
+1.4000000000000001e+00 -2.6015379314566789e-01 +1.7865727806408069e-03 +6.3704830471697504e-02 -6.8292912365172791e+00 +7.4923075007101272e+02 +6.5541816918165408e+04 -2.4810285140116173e+06 
+1.5000000000000002e+00 -2.6015382833778811e-01 +1.7938323561219535e-03 +6.4810036252367073e-02 -7.0131260543147640e+00 +7.3838683322284999e+02 +6.6627305086336579e+04 -2.4555052361782813e+06 
+1.6000000000000003e+00 -2.6015386584333072e-01 +1.8012097578393750e-03 +6.5964713926017146e-02 -7.2107446727120266e+00 +7.2765775229069709e+02 +6.7795401481281340e+04 -2.4315012531473981e+06 
+1.7000000000000004e+00 -2.6015390549871070e-01 +1.8086921747836465e-03 +6.7153763673424946e-02 -7.4221690174957864e+00 +7.1719674921606281e+02 +6.9044601300484966e+04 -2.4094349801943116e+06 
+1.8000000000000005e+00 -2.6015394714033574e-01 +1.8162668051988811e-03 +6.8362085848377843e-02 -7.6474213066018200e+00 +7.0715708203120448e+02 +7.0373401335084578e+04 -2.3897249755509165e+06 
+1.9000000000000006e+00 -2.6015399060461308e-01 +1.8239208574477616e-03 +6.9574582063979026e-02 -7.8865240587916094e+00 +6.9769200381221367e+02 +7.1780299961729659e+04 -2.3727898392619644e+06 
+2.0000000000000004e+00 -2.6015403572793233e-01 +1.8316415511142557e-03 +7.0776152898148786e-02 -8.1395000226174670e+00 +6.8895482444433378e+02 +7.3263797091812026e+04 -2.3590485074182642e+06 
+2.1000000000000005e+00 -2.6015408234606030e-01 +1.8394140959171500e-03 +7.1954891432431167e-02 -8.4060215112114189e+00 +6.8106436234611590e+02 +7.4820569587345744e+04 -2.3488241105601806e+06 
+2.2000000000000006e+00 -2.6015413029151130e-01 +1.8472113223188336e-03 +7.3111866927372496e-02 -8.6845062156800861e+00 +6.7396267043881414e+02 +7.6441249347079007e+04 -2.3418611510663466e+06 
+2.3000000000000007e+00 -2.6015417939624996e-01 +1.8550015013490367e-03 +7.4251548478783125e-02 -8.9730747664983657e+00 +6.6753737634930837e+02 +7.8115219828886533e+04 -2.3377127161360867e+06 
+2.4000000000000008e+00 -2.6015422949222344e-01 +1.8627528999180412e-03 +7.5378402853788384e-02 -9.2698476851794727e+00 +6.6167614654349700e+02 +7.9831864589341349e+04 -2.3359320996149420e+06 
+2.5000000000000009e+00 -2.6015428041136285e-01 +1.8704337820936404e-03 +7.6496894414486011e-02 -9.5729453731469700e+00 +6.5626668516544464e+02 +8.1580566518944324e+04 -2.3360727315082094e+06 
+2.6000000000000010e+00 -2.6015433198555582e-01 +1.8780124072566436e-03 +7.7611481541548552e-02 -9.8804880435942515e+00 +6.5119679985858113e+02 +8.3350707431383315e+04 -2.3376884797605975e+06 
+2.7000000000000011e+00 -2.6015438404666053e-01 +1.8854570323427347e-03 +7.8726618194147377e-02 -1.0190595780584310e+01 +6.4635437121310770e+02 +8.5131668411400475e+04 -2.3403335004371414e+06 
+2.8000000000000012e+00 -2.6015443642650632e-01 +1.8927359088350012e-03 +7.9846753886107208e-02 -1.0501388442576067e+01 +6.4162735068770974e+02 +8.6912829256535246e+04 -2.3435622172291079e+06 
+2.9000000000000012e+00 -2.6015448895688287e-01 +1.8998172833586220e-03 +8.0976332137129473e-02 -1.0810985665115568e+01 +6.3690378884693928e+02 +8.8683568471731574e+04 -2.3469294483193089e+06 
+3.0000000000000013e+00 -2.6015454146953626e-01 +1.9066693972983088e-03 +8.2119789856549039e-02 -1.1117506845862538e+01 +6.3207184512826950e+02 +9.0433263197976368e+04 -2.3499904444313813e+06 
+3.1000000000000014e+00 -2.6015459379617312e-01 +1.9132604860425224e-03 +8.3281557758621574e-02 -1.1419071108524159e+01 +6.2701977832407158e+02 +9.2151288985828098e+04 -2.3523008356648525e+06 
+3.2000000000000015e+00 -2.6015464576845260e-01 +1.9195587776955172e-03 +8.4466059127536935e-02 -1.1713797255232640e+01 +6.2163596790818360e+02 +9.3827019516174667e+04 -2.3534167231491744e+06 
+3.3000000000000016e+00 -2.6015469721798617e-01 +1.9255324953267867e-03 +8.5677709711831293e-02 -1.1999803824906987e+01 +6.1580891448129228e+02 +9.5449826939557708e+04 -2.3528946735245869e+06 
+3.4000000000000017e+00 -2.6015474797633004e-01 +1.9311498529091316e-03 +8.6920916659941755e-02 -1.2275208962982212e+01 +6.0942725833999714e+02 +9.7009081113327280e+04 -2.3502917992240759e+06 
+3.5000000000000018e+00 -2.6015479787499124e-01 +1.9363790577865457e-03 +8.8200079048983748e-02 -1.2538130483345752e+01 +6.0237976752151735e+02 +9.8494149954324166e+04 -2.3451656928943368e+06 
+3.6000000000000019e+00 -2.6015484674541994e-01 +1.9411883080286871e-03 +8.9519586789449448e-02 -1.2786685783873148e+01 +5.9455535736720708e+02 +9.9894398953035387e+04 -2.3370745136133465e+06 
+3.7000000000000020e+00 -2.6015489441900408e-01 +1.9455457939135175e-03 +9.0883819912988079e-02 -1.3018991877044520e+01 +5.8584310114064442e+02 +1.0119919133876136e+05 -2.3255770253258776e+06 
+3.8000000000000020e+00 -2.6015494072707190e-01 +1.9494196956273550e-03 +9.2297148590218148e-02 -1.3233165312940177e+01 +5.7613222940035621e+02 +1.0239788762856522e+05 -2.3102325901398123e+06 
+3.9000000000000021e+00 -2.6015498550088512e-01 +1.9527781843158099e-03 +9.3763932331496977e-02 -1.3427322202060973e+01 +5.6531214172353691e+02 +1.0347984576078434e+05 -2.2906012108487650e+06 
+4.0000000000000018e+00 -2.6015502857162143e-01 +1.9555894413081092e-03 +9.5288517747822515e-02 -1.3599579902591369e+01 +5.5327229694288667e+02 +1.0443443193181258e+05 -2.2662426535534514e+06 
+4.1000000000000014e+00 -2.6015506981779318e-01 +1.9578209238914853e-03 +9.6872512912043546e-02 -1.3748498687012313e+01 +5.3993650979880817e+02 +1.0525416304008968e+05 -2.2367980405613850e+06 
+4.2000000000000011e+00 -2.6015510933548985e-01 +1.9594586704623903e-03 +9.8510039256205939e-02 -1.3874377681179512e+01 +5.2539304040638774e+02 +1.0594236280753478e+05 -2.2025546961603188e+06 
+4.3000000000000007e+00 -2.6015514728053085e-01 +1.9605004210424899e-03 +1.0019360330690122e-01 -1.3978056059960453e+01 +5.0978598010537291e+02 +1.0650521786787051e+05 -2.1640593017322472e+06 
+4.4000000000000004e+00 -2.6015518380870672e-01 +1.9609439512023210e-03 +1.0191570707178264e-01 -1.4060374181261906e+01 +4.9325954685132666e+02 +1.0694891772715865e+05 -2.1218589303504578e+06 
+4.5000000000000000e+00 -2.6015521907580230e-01 +1.9607870474651337e-03 +1.0366885535418929e-01 -1.4122172793278079e+01 +4.7595788843167907e+02 +1.0727965400447996e+05 -2.0765003051667640e+06 
+4.5999999999999996e+00 -2.6015525323759514e-01 +1.9600275052555358e-03 +1.0544555596814030e-01 -1.4164292975686749e+01 +4.5802507598024295e+02 +1.0750362006710666e+05 -2.0285297645543553e+06 
+4.6999999999999993e+00 -2.6015528644985658e-01 +1.9586631322630874e-03 +1.0723831973827513e-01 -1.4187576248953729e+01 +4.3960510682264027e+02 +1.0762701167084479e+05 -1.9784932865946102e+06 
+4.7999999999999989e+00 -2.6015531886835802e-01 +1.9566917490024364e-03 +1.0903966193137354e-01 -1.4192864594430876e+01 +4.2084187306686829e+02 +1.0765602705811187e+05 -1.9269363313560633e+06 
+4.8999999999999986e+00 -2.6015535064886947e-01 +1.9541111864301011e-03 +1.1084210195265602e-01 -1.4181000393228038e+01 +4.0187916945954873e+02 +1.0759686660299428e+05 -1.8744038862562235e+06 
+4.9999999999999982e+00 -2.6015538194716004e-01 +1.9509192902553416e-03 +1.1263816370421595e-01 -1.4152826553215329e+01 +3.8286068655250216e+02 +1.0745573352219799e+05 -1.8214404371809568e+06 
+5.0999999999999979e+00 -2.6015541291899830e-01 +1.9471139202389737e-03 +1.1442037604400609e-01 -1.4109186501250409e+01 +3.6392999883202253e+02 +1.0723883384212892e+05 -1.7685899057814628e+06 
+5.1999999999999975e+00 -2.6015544372015564e-01 +1.9426929505830129e-03 +1.1618127308525900e-01 -1.4050924197646470e+01 +3.4523056188699536e+02 +1.0695237646243638e+05 -1.7163956467237242e+06 
+5.2999999999999972e+00 -2.6015547450640764e-01 +1.9376542705199869e-03 +1.1791339485034953e-01 -1.3978884159181185e+01 +3.2690569755428118e+02 +1.0660257327996947e+05 -1.6654003738705276e+06 
+5.3999999999999968e+00 -2.6015550543353205e-01 +1.9319957861851152e-03 +1.1960928724190267e-01 -1.3893911519374621e+01 +3.0909859410625978e+02 +1.0619563952769745e+05 -1.6161461625631070e+06 
+5.4999999999999964e+00 -2.6015553665731467e-01 +1.9257154202536276e-03 +1.2126150270009527e-01 -1.3796852026107672e+01 +2.9195229484794203e+02 +1.0573779375861632e+05 -1.5691744015605650e+06 
+5.5999999999999961e+00 -2.6015556833355125e-01 +1.9188111124133981e-03 +1.2286260100943630e-01 -1.3688552062312159e+01 +2.7560968086382019e+02 +1.0523525795715229e+05 -1.5250257086597714e+06 
+5.6999999999999957e+00 -2.6015560061803700e-01 +1.9112808205743194e-03 +1.2440514803197072e-01 -1.3569858684611848e+01 +2.6021349501287364e+02 +1.0469425774600579e+05 -1.4842400471638381e+06 
+5.7999999999999954e+00 -2.6015563366658262e-01 +1.9031225225725691e-03 +1.2588171786911320e-01 -1.3441619678537716e+01 +2.4590630149266917e+02 +1.0412102269628702e+05 -1.4473565386129895e+06 
+5.8999999999999950e+00 -2.6015566763501125e-01 +1.8943342142150540e-03 +1.2728489288483397e-01 -1.3304683512977713e+01 +2.3283048354215043e+02 +1.0352178606938146e+05 -1.4149134501799354e+06 
+5.9999999999999947e+00 -2.6015570267924676e-01 +1.8849139140982491e-03 +1.2860728351300632e-01 -1.3159896167439609e+01 +2.2112823538736504e+02 +1.0290276113164604e+05 -1.3874491749517538e+06 
+6.0999999999999943e+00 -2.6015573891718025e-01 +1.8748837317607663e-03 +1.2984674317293726e-01 -1.3008191477328133e+01 +2.1085845408377190e+02 +1.0226949744613642e+05 -1.3651913685142768e+06 
+6.1999999999999940e+00 -2.6015577628628567e-01 +1.8643172327398735e-03 +1.3101139594548594e-01 -1.2850470735419137e+01 +2.0184592962385358e+02 +1.0162478488405491e+05 -1.3473039256107535e+06 
+6.2999999999999936e+00 -2.6015581467429677e-01 +1.8532894496467180e-03 +1.3211056940558008e-01 -1.2687377372632838e+01 +1.9385970000244669e+02 +1.0096966534841324e+05 -1.3326462177633836e+06 
+6.3999999999999932e+00 -2.6015585396903873e-01 +1.8418753403256385e-03 +1.3315360354479314e-01 -1.2519551189787160e+01 +1.8666836668750159e+02 +1.0030516275408583e+05 -1.3200754595920919e+06 
+6.4999999999999929e+00 -2.6015589405840223e-01 +1.8301498611412335e-03 +1.3414983707768141e-01 -1.2347631663432246e+01 +1.8004060063208354e+02 +9.9632298258467636e+04 -1.3084492701987261e+06 
+6.5999999999999925e+00 -2.6015593483036520e-01 +1.8181879682219451e-03 +1.3510861013471018e-01 -1.2172257969543896e+01 +1.7374509258362212e+02 +9.8952090367784316e+04 -1.2966254415520197e+06 
+6.6999999999999922e+00 -2.6015597617298375e-01 +1.8060646174982305e-03 +1.3603926236415692e-01 -1.1994068975079520e+01 +1.6755059218529240e+02 +9.8265554862972029e+04 -1.2834621287167817e+06 
+6.7999999999999918e+00 -2.6015601797439752e-01 +1.7938547622383973e-03 +1.3695113342456960e-01 -1.1813703151034977e+01 +1.6122590012045268e+02 +9.7573704258461730e+04 -1.2678178151495026e+06 
+6.8999999999999915e+00 -2.6015606012283832e-01 +1.7816333553983101e-03 +1.3785356343570215e-01 -1.1631798633663280e+01 +1.5453986264265529e+02 +9.6877548134873563e+04 -1.2485512930611968e+06 
+6.9999999999999911e+00 -2.6015610250662563e-01 +1.7694753477367656e-03 +1.3875589231346663e-01 -1.1448993156795652e+01 +1.4726138467255768e+02 +9.6178092718604326e+04 -1.2245217244834083e+06 
+7.0999999999999908e+00 -2.6015614501418116e-01 +1.7574556890538847e-03 +1.3966746070922392e-01 -1.1265924076518472e+01 +1.3915941700399088e+02 +9.5476340993066478e+04 -1.1945885927500310e+06 
+7.1999999999999904e+00 -2.6015618753401665e-01 +1.7456493269165832e-03 +1.4059760850213512e-01 -1.1083228326025745e+01 +1.3000298416376972e+02 +9.4773292416826385e+04 -1.1576118296102472e+06 
+7.2999999999999901e+00 -2.6015622995474702e-01 +1.7341312062428235e-03 +1.4155567582105794e-01 -1.0901542384004062e+01 +1.1956116888567144e+02 +9.4069942691192467e+04 -1.1124517509319175e+06 
