# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6505352252341652e-02 -3.0358923671770410e-01 +2.1040508095019504e-03
-1.0000000000000001e-01 +4.6466969661726782e+00 +0.0000000000000000e+00 -9.9999999938639270e-02 +1.6505321990035911e-02 -3.0358923624553519e-01 +2.1040725032956094e-03
-2.0000000000000001e-01 +4.6466878646907270e+00 +0.0000000000000000e+00 -1.9999999950911423e-01 +1.6505289800436630e-02 -3.0358923668261384e-01 +2.1040926301906116e-03
-3.0000000000000004e-01 +4.6466726955541722e+00 +0.0000000000000000e+00 -2.9999999834326052e-01 +1.6505256306861414e-02 -3.0358923768472479e-01 +2.1041112987233795e-03
-4.0000000000000002e-01 +4.6466514587630492e+00 +0.0000000000000000e+00 -3.9999999607291381e-01 +1.6505222132623471e-02 -3.0358923890760431e-01 +2.1041286174283804e-03
-5.0000000000000000e-01 +4.6466241543174132e+00 +0.0000000000000000e+00 -4.9999999232990983e-01 +1.6505187901036677e-02 -3.0358924000695287e-01 +2.1041446948347792e-03
-5.9999999999999998e-01 +4.6465907822173431e+00 +0.0000000000000000e+00 -5.9999998674608412e-01 +1.6505154235420583e-02 -3.0358924063844733e-01 +2.1041596394630732e-03
-6.9999999999999996e-01 +4.6465513424629492e+00 +0.0000000000000000e+00 -6.9999997895327248e-01 +1.6505121759105370e-02 -3.0358924045775199e-01 +2.1041735598217345e-03
-7.9999999999999993e-01 +4.6465058350543815e+00 +0.0000000000000000e+00 -7.9999996858331057e-01 +1.6505091095436873e-02 -3.0358923912053065e-01 +2.1041865644038506e-03
-8.9999999999999991e-01 +4.6464542599918346e+00 +0.0000000000000000e+00 -8.9999995526803411e-01 +1.6505062867781566e-02 -3.0358923628245899e-01 +2.1041987616837701e-03
