# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +4.6467000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +4.6466956835460023e+00 +0.0000000000000000e+00 -9.9999999875788156e-02 +8.6329081472690038e-05 +0.0000000000000000e+00 +9.9999999627364489e-01
-2.0000000000000001e-01 +4.6466827341834165e+00 +0.0000000000000000e+00 -1.9999999900630525e-01 +1.7265817161953053e-04 +0.0000000000000000e+00 +9.9999998509457777e-01
-3.0000000000000004e-01 +4.6466611519114158e+00 +0.0000000000000000e+00 -2.9999999664627991e-01 +2.5898726963995334e-04 +0.0000000000000000e+00 +9.9999996646279654e-01
-4.0000000000000002e-01 +4.6466309367292533e+00 +0.0000000000000000e+00 -3.9999999205044068e-01 +3.4531637470714885e-04 +0.0000000000000000e+00 +9.9999994037829887e-01
-5.0000000000000000e-01 +4.6465920886362673e+00 +0.0000000000000000e+00 -4.9999998447351574e-01 +4.3164548596808731e-04 +0.0000000000000000e+00 +9.9999990684108286e-01
-5.9999999999999998e-01 +4.6465446076318822e+00 +0.0000000000000000e+00 -5.9999997317023324e-01 +5.1797460254353735e-04 +0.0000000000000000e+00 +9.9999986585114653e-01
-6.9999999999999996e-01 +4.6464884937156112e+00 +0.0000000000000000e+00 -6.9999995739532106e-01 +6.0430372352808222e-04 +0.0000000000000000e+00 +9.9999981740848820e-01
-7.9999999999999993e-01 +4.6464237468870602e+00 +0.0000000000000000e+00 -7.9999993640350686e-01 +6.9063284799013281e-04 +0.0000000000000000e+00 +9.9999976151310621e-01
-8.9999999999999991e-01 +4.6463503671459288e+00 +0.0000000000000000e+00 -8.9999990944951813e-01 +7.7696197497193853e-04 +0.0000000000000000e+00 +9.9999969816499923e-01
-9.9999999999999989e-01 +4.6462683544920145e+00 +0.0000000000000000e+00 -9.9999987578808247e-01 +8.6329110348959469e-04 +0.0000000000000000e+00 +9.9999962736416592e-01
-1.0999999999999999e+00 +4.6461777089252134e+00 +0.0000000000000000e+00 -1.0999998346739270e+00 +9.4962023253304835e-04 +0.0000000000000000e+00 +9.9999954911060540e-01
-1.2000000000000000e+00 +4.6460784304455247e+00 +0.0000000000000000e+00 -1.1999997853617792e+00 +1.0359493610661002e-03 +0.0000000000000000e+00 +9.9999946340431678e-01
-1.3000000000000000e+00 +4.6459705190530523e+00 +0.0000000000000000e+00 -1.2999997271063661e+00 +1.1222784880264049e-03 +0.0000000000000000e+00 +9.9999937024529950e-01
-1.4000000000000001e+00 +4.6458539747480074e+00 +0.0000000000000000e+00 -1.3999996591624149e+00 +1.2086076123254677e-03 +0.0000000000000000e+00 +9.9999926963355312e-01
-1.5000000000000002e+00 +4.6457287975307127e+00 +0.0000000000000000e+00 -1.4999995807846525e+00 +1.2949367328486396e-03 +0.0000000000000000e+00 +9.9999916156907764e-01
-1.6000000000000003e+00 +4.6455949874016014e+00 +0.0000000000000000e+00 -1.5999994912278062e+00 +1.3812658484551085e-03 +0.0000000000000000e+00 +9.9999904605187306e-01
-1.7000000000000004e+00 +4.6454525443612242e+00 +0.0000000000000000e+00 -1.6999993897466028e+00 +1.4675949579778882e-03 +0.0000000000000000e+00 +9.9999892308193994e-01
-1.8000000000000005e+00 +4.6453014684102483e+00 +0.0000000000000000e+00 -1.7999992755957699e+00 +1.5539240602238057e-03 +0.0000000000000000e+00 +9.9999879265927882e-01
-1.9000000000000006e+00 +4.6451417595494622e+00 +0.0000000000000000e+00 -1.8999991480300344e+00 +1.6402531539734839e-03 +0.0000000000000000e+00 +9.9999865478389072e-01
-2.0000000000000004e+00 +4.6449734177797781e+00 +0.0000000000000000e+00 -1.9999990063041237e+00 +1.7265822379813230e-03 +0.0000000000000000e+00 +9.9999850945577695e-01
-2.1000000000000005e+00 +4.6447964431022335e+00 +0.0000000000000000e+00 -2.0999988496727657e+00 +1.8129113109774920e-03 +0.0000000000000000e+00 +9.9999835667493908e-01
-2.2000000000000006e+00 +4.6446108355179927e+00 +0.0000000000000000e+00 -2.1999986773906874e+00 +1.8992403716900468e-03 +0.0000000000000000e+00 +9.9999819644137888e-01
-2.3000000000000007e+00 +4.6444165950283471e+00 +0.0000000000000000e+00 -2.2999984887126175e+00 +1.9855694188670573e-03 +0.0000000000000000e+00 +9.9999802875509858e-01
-2.4000000000000008e+00 +4.6442137216347117e+00 +0.0000000000000000e+00 -2.3999982828932835e+00 +2.0718984512786112e-03 +0.0000000000000000e+00 +9.9999785361610039e-01
-2.5000000000000009e+00 +4.6440022153386238e+00 +0.0000000000000000e+00 -2.4999980591874138e+00 +2.1582274677168045e-03 +0.0000000000000000e+00 +9.9999767102438686e-01
