# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -4.7664405820760081e-01 +4.0196300355832933e-04 -9.1089539793180824e-02 +2.4414800800429241e+01 +2.3009641346871140e+03 -1.3367075335897596e+05 -6.4442287654823503e+06 
-1.0000000000000001e-01 -4.7664403215072887e-01 +4.0662451536003944e-04 -9.3052048306750304e-02 +2.4243322086682230e+01 +2.3100785297034131e+03 -1.3305944693896538e+05 -6.4242363282154426e+06 
-2.0000000000000001e-01 -4.7664400356282177e-01 +4.1369231850616687e-04 -9.5256727330063254e-02 +2.4034669671867356e+01 +2.3236598326019953e+03 -1.3230177169986384e+05 -6.4245745480082072e+06 
-3.0000000000000004e-01 -4.7664397291590699e-01 +4.2300855460200901e-04 -9.7659770863687725e-02 +2.3791665918466130e+01 +2.3410410964163316e+03 -1.3140903997760254e+05 -6.4425855193518149e+06 
-4.0000000000000002e-01 -4.7664394068211124e-01 +4.3441536795436333e-04 -1.0021736939651597e-01 +2.3517133050282766e+01 +2.3615553727365755e+03 -1.3039256309243770e+05 -6.4756114994563265e+06 
-5.0000000000000000e-01 -4.7664390733365647e-01 +4.4775490004987574e-04 -1.0288570879084002e-01 +2.3213893300922226e+01 +2.3845356743525654e+03 -1.2926365210799065e+05 -6.5209946853192234e+06 
-5.9999999999999998e-01 -4.7664387334284780e-01 +4.6286928809133451e-04 -1.0562097114865067e-01 +2.2884768936381011e+01 +2.4093149849402912e+03 -1.2803361784621676e+05 -6.5760772395973559e+06 
-6.9999999999999996e-01 -4.7664383918203701e-01 +4.7960065445921241e-04 -1.0837933821187422e-01 +2.2532582545829673e+01 +2.4352263117670395e+03 -1.2671377246073191e+05 -6.6382015064608455e+06 
-7.9999999999999993e-01 -4.7664380532365197e-01 +4.9779110711296566e-04 -1.1111698649605094e-01 +2.2160157007493961e+01 +2.4616025827615681e+03 -1.2531542911064909e+05 -6.7047094936105506e+06 
-8.9999999999999991e-01 -4.7664377224015059e-01 +5.1728273139711517e-04 -1.1379009224061959e-01 +2.1770315716515594e+01 +2.4877767311975749e+03 -1.2384990318898967e+05 -6.7729432472585002e+06 
-9.9999999999999989e-01 -4.7664374040402735e-01 +5.3791758477073201e-04 -1.1635482920036549e-01 +2.1365882710221769e+01 +2.5130816405392297e+03 -1.2232851290433387e+05 -6.8402445519578634e+06 
-1.0999999999999999e+00 -4.7664371028778701e-01 +5.5953769454903973e-04 -1.1876737133294811e-01 +2.0949682726561065e+01 +2.5368501884482698e+03 -1.2076257953613454e+05 -6.9039551186799062e+06 
-1.2000000000000000e+00 -4.7664368236394689e-01 +5.8198504962491727e-04 -1.2098389095481694e-01 +2.0524541418678030e+01 +2.5584151983600445e+03 -1.1916342853662699e+05 -6.9614163185105650e+06 
-1.3000000000000000e+00 -4.7664365710502521e-01 +6.0510159655626308e-04 -1.2296055958501233e-01 +2.0093285455969138e+01 +2.5771094468131191e+03 -1.1754239001829970e+05 -7.0099691908285618e+06 
