fieldmap_name:      	TBD-01
timestamp:          	2018-09-22_10-32-37
filename:           	2018-09-22_TBD-01_Hall_X=-76_76mm_Z=-500_500mm_Imc=50.724A_ID=32.dat
nr_magnets:         	1
magnet_name:        	TBD-01
gap[mm]:            	33
control_gap[mm]:    	--
magnet_length[mm]:  	294.5
current_main[A]:    	50.724
nr_turns_main:      	23
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-76.000	0.000	-500.000	1.9311978511e-04	2.9202128888e-04	-7.9993112436e-05
-72.000	0.000	-500.000	1.9360917970e-04	2.9090769529e-04	-8.0876726563e-05
-68.000	0.000	-500.000	1.9306800119e-04	2.9137157068e-04	-8.0649406746e-05
-64.000	0.000	-500.000	1.9296224528e-04	2.9132693913e-04	-8.0856927740e-05
-60.000	0.000	-500.000	1.9260778064e-04	2.9133498744e-04	-8.0397888368e-05
-56.000	0.000	-500.000	1.9415619303e-04	2.9046650151e-04	-8.0989653182e-05
-52.000	0.000	-500.000	1.9326638469e-04	2.9063478438e-04	-8.0278362142e-05
-48.000	0.000	-500.000	1.9310373939e-04	2.9117841121e-04	-7.9789257890e-05
-44.000	0.000	-500.000	1.9375432057e-04	2.9126474764e-04	-8.0747667570e-05
-40.000	0.000	-500.000	1.9382725568e-04	2.9071014584e-04	-8.1293968421e-05
-36.000	0.000	-500.000	1.9361720257e-04	2.9104085826e-04	-8.0985253444e-05
-32.000	0.000	-500.000	1.9330212289e-04	2.9074014409e-04	-8.1153910082e-05
-28.000	0.000	-500.000	1.9355156097e-04	2.9120475114e-04	-8.0222632122e-05
-24.000	0.000	-500.000	1.9381193931e-04	2.9085135711e-04	-8.0323092816e-05
-20.000	0.000	-500.000	1.9307748275e-04	2.9109426978e-04	-8.0435286145e-05
-16.000	0.000	-500.000	1.9463975281e-04	2.9136498569e-04	-8.1024851089e-05
-12.000	0.000	-500.000	1.9369378443e-04	2.9115865626e-04	-8.0509348408e-05
-8.000	0.000	-500.000	1.9285867742e-04	2.9105183323e-04	-8.0374423097e-05
-4.000	0.000	-500.000	1.9332983823e-04	2.9206153043e-04	-8.0199900141e-05
